"","name","MUAD","CCS","TAD","RAD","NASAL"
"1","Dataport",0.62,0.66,0.64,0.69,0.8
"2","AMPds",0.74,0.76,0.82,0.8,0.89
"3","ECO",0.67,0.68,0.7,0.68,0.76
"4","REFIT",0.74,0.74,0.7,0.76,0.84
