Index,anomaly_status,
25/06/14 00:50,FALSE,0
25/06/14 01:50,FALSE,0
25/06/14 02:50,FALSE,0
25/06/14 03:50,FALSE,0
25/06/14 04:50,FALSE,0
25/06/14 05:50,FALSE,0
25/06/14 06:50,FALSE,0
25/06/14 07:50,FALSE,0
25/06/14 08:50,FALSE,0
25/06/14 09:50,FALSE,0
25/06/14 10:50,FALSE,0
25/06/14 11:50,FALSE,0
25/06/14 12:50,FALSE,0
25/06/14 13:50,FALSE,0
25/06/14 14:50,FALSE,0
25/06/14 15:50,FALSE,0
25/06/14 16:50,FALSE,0
25/06/14 17:50,FALSE,0
25/06/14 18:50,FALSE,0
25/06/14 19:50,FALSE,0
25/06/14 20:50,FALSE,0
25/06/14 21:50,FALSE,0
25/06/14 22:50,FALSE,0
25/06/14 23:50,FALSE,0
26/06/14 00:50,FALSE,0
26/06/14 01:50,FALSE,0
26/06/14 02:50,FALSE,0
26/06/14 03:50,FALSE,0
26/06/14 04:50,FALSE,0
26/06/14 05:50,FALSE,0
26/06/14 06:50,FALSE,0
26/06/14 07:50,FALSE,0
26/06/14 08:50,FALSE,0
26/06/14 09:50,FALSE,0
26/06/14 10:50,FALSE,0
26/06/14 11:50,FALSE,0
26/06/14 12:50,FALSE,0
26/06/14 13:50,FALSE,0
26/06/14 14:50,FALSE,0
26/06/14 15:50,FALSE,0
26/06/14 16:50,FALSE,0
26/06/14 17:50,FALSE,0
26/06/14 18:50,FALSE,0
26/06/14 19:50,FALSE,0
26/06/14 20:50,FALSE,0
26/06/14 21:50,FALSE,0
26/06/14 22:50,TRUE,0
26/06/14 23:50,TRUE,0
27/06/14 00:50,FALSE,0
27/06/14 01:50,FALSE,0
27/06/14 02:50,FALSE,0
27/06/14 03:50,FALSE,0
27/06/14 04:50,FALSE,0
27/06/14 05:50,FALSE,0
27/06/14 06:50,FALSE,0
27/06/14 07:50,FALSE,0
27/06/14 08:50,FALSE,0
27/06/14 09:50,FALSE,0
27/06/14 10:50,FALSE,0
27/06/14 11:50,FALSE,0
27/06/14 12:50,FALSE,0
27/06/14 13:50,FALSE,0
27/06/14 14:50,FALSE,0
27/06/14 15:50,FALSE,0
27/06/14 16:50,FALSE,0
27/06/14 17:50,FALSE,0
27/06/14 18:50,FALSE,0
27/06/14 19:50,FALSE,0
27/06/14 20:50,FALSE,0
27/06/14 21:50,FALSE,0
27/06/14 22:50,FALSE,0
27/06/14 23:50,FALSE,0
28/06/14 00:50,FALSE,0
28/06/14 01:50,FALSE,0
28/06/14 02:50,FALSE,0
28/06/14 03:50,FALSE,0
28/06/14 04:50,FALSE,0
28/06/14 05:50,FALSE,0
28/06/14 06:50,FALSE,0
28/06/14 07:50,FALSE,0
28/06/14 08:50,FALSE,0
28/06/14 09:50,FALSE,0
28/06/14 10:50,FALSE,0
28/06/14 11:50,FALSE,0
28/06/14 12:50,FALSE,0
28/06/14 13:50,FALSE,0
28/06/14 14:50,FALSE,0
28/06/14 15:50,FALSE,0
28/06/14 16:50,FALSE,0
28/06/14 17:50,FALSE,0
28/06/14 18:50,FALSE,0
28/06/14 19:50,FALSE,0
28/06/14 20:50,FALSE,0
28/06/14 21:50,FALSE,0
28/06/14 22:50,FALSE,0
28/06/14 23:50,FALSE,0
29/06/14 00:50,FALSE,0
29/06/14 01:50,FALSE,0
29/06/14 02:50,FALSE,0
29/06/14 03:50,FALSE,0
29/06/14 04:50,FALSE,0
29/06/14 05:50,FALSE,0
29/06/14 06:50,FALSE,0
29/06/14 07:50,FALSE,0
29/06/14 08:50,FALSE,0
29/06/14 09:50,FALSE,0
29/06/14 10:50,FALSE,0
29/06/14 11:50,FALSE,0
29/06/14 12:50,FALSE,0
29/06/14 13:50,FALSE,0
29/06/14 14:50,FALSE,0
29/06/14 15:50,FALSE,0
29/06/14 16:50,FALSE,0
29/06/14 17:50,FALSE,0
29/06/14 18:50,FALSE,0
29/06/14 19:50,FALSE,0
29/06/14 20:50,FALSE,0
29/06/14 21:50,FALSE,0
29/06/14 22:50,FALSE,0
29/06/14 23:50,FALSE,0
30/06/14 00:50,FALSE,0
30/06/14 01:50,FALSE,0
30/06/14 02:50,FALSE,0
30/06/14 03:50,FALSE,0
30/06/14 04:50,FALSE,0
30/06/14 05:50,FALSE,0
30/06/14 06:50,FALSE,0
30/06/14 07:50,FALSE,0
30/06/14 08:50,FALSE,0
30/06/14 09:50,FALSE,0
30/06/14 10:50,FALSE,0
30/06/14 11:50,FALSE,0
30/06/14 12:50,FALSE,0
30/06/14 13:50,FALSE,0
30/06/14 14:50,FALSE,0
30/06/14 15:50,FALSE,0
30/06/14 16:50,FALSE,0
30/06/14 17:50,FALSE,0
30/06/14 18:50,FALSE,0
30/06/14 19:50,FALSE,0
30/06/14 20:50,FALSE,0
30/06/14 21:50,FALSE,0
30/06/14 22:50,FALSE,0
30/06/14 23:50,FALSE,0
01/07/14 00:50,FALSE,0
01/07/14 01:50,FALSE,0
01/07/14 02:50,FALSE,0
01/07/14 03:50,FALSE,0
01/07/14 04:50,FALSE,0
01/07/14 05:50,FALSE,0
01/07/14 06:50,FALSE,0
01/07/14 07:50,FALSE,0
01/07/14 08:50,FALSE,0
01/07/14 09:50,FALSE,0
01/07/14 10:50,FALSE,0
01/07/14 11:50,FALSE,0
01/07/14 12:50,FALSE,0
01/07/14 13:50,FALSE,0
01/07/14 14:50,FALSE,0
01/07/14 15:50,FALSE,0
01/07/14 16:50,FALSE,0
01/07/14 17:50,FALSE,0
01/07/14 18:50,FALSE,0
01/07/14 19:50,FALSE,0
01/07/14 20:50,FALSE,0
01/07/14 21:50,FALSE,0
01/07/14 22:50,FALSE,0
01/07/14 23:50,FALSE,0
02/07/14 00:50,FALSE,0
02/07/14 01:50,FALSE,0
02/07/14 02:50,FALSE,0
02/07/14 03:50,FALSE,0
02/07/14 04:50,FALSE,0
02/07/14 05:50,FALSE,0
02/07/14 06:50,FALSE,0
02/07/14 07:50,FALSE,0
02/07/14 08:50,FALSE,0
02/07/14 09:50,FALSE,0
02/07/14 10:50,FALSE,0
02/07/14 11:50,FALSE,0
02/07/14 12:50,FALSE,0
02/07/14 13:50,FALSE,0
02/07/14 14:50,FALSE,0
02/07/14 15:50,FALSE,0
02/07/14 16:50,FALSE,0
02/07/14 17:50,FALSE,0
02/07/14 18:50,FALSE,0
02/07/14 19:50,FALSE,0
02/07/14 20:50,FALSE,0
02/07/14 21:50,FALSE,0
02/07/14 22:50,FALSE,0
02/07/14 23:50,FALSE,0
03/07/14 00:50,FALSE,0
03/07/14 01:50,FALSE,0
03/07/14 02:50,FALSE,0
03/07/14 03:50,TRUE,0
03/07/14 04:50,FALSE,0
03/07/14 05:50,FALSE,0
03/07/14 06:50,FALSE,0
03/07/14 07:50,FALSE,0
03/07/14 08:50,FALSE,0
03/07/14 09:50,FALSE,0
03/07/14 10:50,FALSE,0
03/07/14 11:50,FALSE,0
03/07/14 12:50,FALSE,0
03/07/14 13:50,FALSE,0
03/07/14 14:50,FALSE,0
03/07/14 15:50,FALSE,0
03/07/14 16:50,FALSE,0
03/07/14 17:50,FALSE,0
03/07/14 18:50,FALSE,0
03/07/14 19:50,FALSE,0
03/07/14 20:50,FALSE,0
03/07/14 21:50,FALSE,0
03/07/14 22:50,TRUE,0
03/07/14 23:50,FALSE,0
04/07/14 00:50,FALSE,0
04/07/14 01:50,FALSE,0
04/07/14 02:50,FALSE,0
04/07/14 03:50,FALSE,0
