"Index","power","anomaly"
2014-07-01 00:00:00,801.4,0
2014-07-01 00:10:00,2404.1,1
2014-07-01 00:20:00,260.4,0
2014-07-01 00:30:00,2462.1,0
2014-07-01 00:40:00,1129.2,1
2014-07-01 00:50:00,2066.6,1
2014-07-01 01:00:00,1557.4,0
2014-07-01 01:10:00,1658.6,0
2014-07-01 01:20:00,2100.6,0
2014-07-01 01:30:00,965.9,0
2014-07-01 01:40:00,2730.1,1
2014-07-01 01:50:00,570,0
2014-07-01 02:00:00,2567.9,0
2014-07-01 02:10:00,804.1,0
2014-07-01 02:20:00,2135,0
2014-07-01 02:30:00,1271.9,0
2014-07-01 02:40:00,2162.2,0
2014-07-01 02:50:00,2423.6,1
2014-07-01 03:00:00,2814.6,0
2014-07-01 03:10:00,2844.3,1
2014-07-01 03:20:00,2748.3,0
2014-07-01 03:30:00,5791.9,0
2014-07-01 03:40:00,5408.2,1
2014-07-01 03:50:00,2979.2,1
2014-07-01 04:00:00,1351.7,1
2014-07-01 04:10:00,841.4,0
2014-07-01 04:20:00,846.6,0
2014-07-01 04:30:00,2423.8,1
2014-07-01 04:40:00,1169.7,1
2014-07-01 04:50:00,1640.3,1
2014-07-01 05:00:00,2223,1
2014-07-01 05:10:00,851.8,0
2014-07-01 05:20:00,1968.3,1
2014-07-01 05:30:00,1397.4,1
2014-07-01 05:40:00,454.6,0
2014-07-01 05:50:00,1796.7,1
2014-07-01 06:00:00,1041.6,1
2014-07-01 06:10:00,450.6,0
2014-07-01 06:20:00,1995.3,1
2014-07-01 06:30:00,771.9,0
2014-07-01 06:40:00,452,0
2014-07-01 06:50:00,1575.7,1
2014-07-01 07:00:00,1181.1,1
2014-07-01 07:10:00,448.1,0
2014-07-01 07:20:00,451.6,0
2014-07-01 07:30:00,2304,1
2014-07-01 07:40:00,451,0
2014-07-01 07:50:00,451.3,0
2014-07-01 08:00:00,450.9,0
2014-07-01 08:10:00,2091.9,1
2014-07-01 08:20:00,449.9,0
2014-07-01 08:30:00,451.1,0
2014-07-01 08:40:00,378.7,0
2014-07-01 08:50:00,1296,1
2014-07-01 09:00:00,1455,1
2014-07-01 09:10:00,380.9,0
2014-07-01 09:20:00,436.3,0
2014-07-01 09:30:00,464.6,0
2014-07-01 09:40:00,459.7,0
2014-07-01 09:50:00,1785.5,1
2014-07-01 10:00:00,980.6,1
2014-07-01 10:10:00,453.7,0
2014-07-01 10:20:00,448.1,0
2014-07-01 10:30:00,449.7,0
2014-07-01 10:40:00,449.6,0
2014-07-01 10:50:00,1572.2,1
2014-07-01 11:00:00,973.5,1
2014-07-01 11:10:00,447.8,0
2014-07-01 11:20:00,388.7,0
2014-07-01 11:30:00,251.6,0
2014-07-01 11:40:00,189,0
2014-07-01 11:50:00,143.3,0
2014-07-01 12:00:00,253.4,0
2014-07-01 12:10:00,1922.3,1
2014-07-01 12:20:00,427.6,0
2014-07-01 12:30:00,810,1
