"Index","power","anomaly"
2014-07-01 00:00:00,276.1,1
2014-07-01 00:10:00,475.2,1
2014-07-01 00:20:00,2756.1,1
2014-07-01 00:30:00,2025.6,1
2014-07-01 00:40:00,1625.1,1
2014-07-01 00:50:00,1600.1,1
2014-07-01 01:00:00,951.1,1
2014-07-01 01:10:00,369.2,1
2014-07-01 01:20:00,284.6,1
2014-07-01 01:30:00,285.1,1
2014-07-01 01:40:00,352.1,1
2014-07-01 01:50:00,1007.5,1
2014-07-01 02:00:00,1537.4,1
2014-07-01 02:10:00,1135.3,1
2014-07-01 02:20:00,366.2,1
2014-07-01 02:30:00,276.6,1
2014-07-01 02:40:00,347.5,1
2014-07-01 02:50:00,1203,1
2014-07-01 03:00:00,1781.7,1
2014-07-01 03:10:00,1668.8,1
2014-07-01 03:20:00,1470.1,1
2014-07-01 03:30:00,685,1
2014-07-01 03:40:00,215.6,1
2014-07-01 03:50:00,114.6,0
2014-07-01 04:00:00,109.7,0
2014-07-01 04:10:00,163,1
2014-07-01 04:20:00,141.9,0
2014-07-01 04:30:00,89,0
2014-07-01 04:40:00,89.3,0
2014-07-01 04:50:00,731.6,1
2014-07-01 05:00:00,1271.8,1
2014-07-01 05:10:00,781.8,1
2014-07-01 05:20:00,120,0
2014-07-01 05:30:00,176.8,1
2014-07-01 05:40:00,89,0
2014-07-01 05:50:00,89,0
2014-07-01 06:00:00,146.5,0
2014-07-01 06:10:00,149.1,1
2014-07-01 06:20:00,89.5,0
2014-07-01 06:30:00,89.9,0
2014-07-01 06:40:00,404.3,1
2014-07-01 06:50:00,1296.1,1
2014-07-01 07:00:00,1236.9,1
2014-07-01 07:10:00,119.4,0
2014-07-01 07:20:00,200.1,1
2014-07-01 07:30:00,96.3,0
2014-07-01 07:40:00,89.1,0
2014-07-01 07:50:00,117.5,0
2014-07-01 08:00:00,220.4,1
2014-07-01 08:10:00,89.9,0
2014-07-01 08:20:00,89,0
2014-07-01 08:30:00,101.8,0
2014-07-01 08:40:00,938.4,1
2014-07-01 08:50:00,1228.1,1
2014-07-01 09:00:00,769.3,1
2014-07-01 09:10:00,116,0
2014-07-01 09:20:00,176.8,1
2014-07-01 09:30:00,89,0
2014-07-01 09:40:00,89,0
2014-07-01 09:50:00,113.6,1
2014-07-01 10:00:00,190.2,1
2014-07-01 10:10:00,89,0
2014-07-01 10:20:00,104.5,0
2014-07-01 10:30:00,124.4,1
2014-07-01 10:40:00,628.2,1
2014-07-01 10:50:00,1229.2,1
2014-07-01 11:00:00,854.8,1
2014-07-01 11:10:00,124.1,1
2014-07-01 11:20:00,192,1
2014-07-01 11:30:00,101.1,0
2014-07-01 11:40:00,101,0
2014-07-01 11:50:00,105.8,0
2014-07-01 12:00:00,213.3,1
2014-07-01 12:10:00,101,0
2014-07-01 12:20:00,109.2,0
2014-07-01 12:30:00,114,0
2014-07-01 12:40:00,223.8,1
2014-07-01 12:50:00,122.1,0
2014-07-01 13:00:00,113.7,0
2014-07-01 13:10:00,113.2,0
2014-07-01 13:20:00,218.2,1
2014-07-01 13:30:00,969.2,1
2014-07-01 13:40:00,1373,1
2014-07-01 13:50:00,1281.9,1
2014-07-01 14:00:00,356.4,1
2014-07-01 14:10:00,327.5,1
2014-07-01 14:20:00,473.2,1
2014-07-01 14:30:00,1468.4,1
2014-07-01 14:40:00,594.1,1
2014-07-01 14:50:00,241,0
2014-07-01 15:00:00,316.7,1
2014-07-01 15:10:00,2240.2,1
2014-07-01 15:20:00,3593.2,1
2014-07-01 15:30:00,2408.5,1
2014-07-01 15:40:00,1843.3,1
2014-07-01 15:50:00,1951.7,1
2014-07-01 16:00:00,1074,1
2014-07-01 16:10:00,232,1
2014-07-01 16:20:00,289.2,1
2014-07-01 16:30:00,1520.7,1
2014-07-01 16:40:00,1632,1
2014-07-01 16:50:00,1185,1
