"Index","power","anomaly"
2014-07-01 00:00:00,2755.2,0
2014-07-01 00:10:00,2669,0
2014-07-01 00:20:00,713.7,0
2014-07-01 00:30:00,673,0
2014-07-01 00:40:00,639.6,0
2014-07-01 00:50:00,567.5,0
2014-07-01 01:00:00,638,0
2014-07-01 01:10:00,685.9,0
2014-07-01 01:20:00,1575.1,0
2014-07-01 01:30:00,2797.3,1
2014-07-01 01:40:00,3095.2,1
2014-07-01 01:50:00,3558,1
2014-07-01 02:00:00,3275,1
2014-07-01 02:10:00,3308,0
2014-07-01 02:20:00,2990.4,0
2014-07-01 02:30:00,2965.7,0
2014-07-01 02:40:00,2969.5,0
2014-07-01 02:50:00,2965.9,0
2014-07-01 03:00:00,3125.8,0
2014-07-01 03:10:00,3211.4,0
2014-07-01 03:20:00,3235.7,0
2014-07-01 03:30:00,3070.9,0
2014-07-01 03:40:00,3047.7,0
2014-07-01 03:50:00,3161.8,0
2014-07-01 04:00:00,3026.7,0
2014-07-01 04:10:00,2638.4,0
2014-07-01 04:20:00,2536.2,0
2014-07-01 04:30:00,2608.6,0
2014-07-01 04:40:00,2658.4,0
2014-07-01 04:50:00,2632.2,0
2014-07-01 05:00:00,2529.8,0
2014-07-01 05:10:00,2504.1,0
2014-07-01 05:20:00,2619.9,0
2014-07-01 05:30:00,2573.1,0
2014-07-01 05:40:00,2488.4,0
2014-07-01 05:50:00,2567.5,0
2014-07-01 06:00:00,2619.7,0
2014-07-01 06:10:00,2598,1
2014-07-01 06:20:00,2475.8,1
2014-07-01 06:30:00,2505.5,1
2014-07-01 06:40:00,2597.9,1
2014-07-01 06:50:00,2510.5,1
2014-07-01 07:00:00,2513,0
2014-07-01 07:10:00,2594.8,0
2014-07-01 07:20:00,2517.5,0
2014-07-01 07:30:00,2118.3,0
2014-07-01 07:40:00,661.3,0
2014-07-01 07:50:00,624.1,0
2014-07-01 08:00:00,547.1,0
2014-07-01 08:10:00,633.7,0
2014-07-01 08:20:00,1013,0
2014-07-01 08:30:00,2534.2,1
2014-07-01 08:40:00,2482.3,1
2014-07-01 08:50:00,2565.6,1
2014-07-01 09:00:00,2571.9,1
2014-07-01 09:10:00,2074.1,1
2014-07-01 09:20:00,604.5,0
2014-07-01 09:30:00,680.5,0
2014-07-01 09:40:00,678.5,0
2014-07-01 09:50:00,572.1,0
2014-07-01 10:00:00,551.4,0
2014-07-01 10:10:00,666.6,0
2014-07-01 10:20:00,1668.4,1
2014-07-01 10:30:00,2465,1
2014-07-01 10:40:00,2553.9,1
2014-07-01 10:50:00,2600.3,1
2014-07-01 11:00:00,2519.4,1
2014-07-01 11:10:00,590.6,0
2014-07-01 11:20:00,623.1,0
2014-07-01 11:30:00,651,0
2014-07-01 11:40:00,544.9,0
2014-07-01 11:50:00,1247.1,1
2014-07-01 12:00:00,915.3,0
2014-07-01 12:10:00,740.4,0
2014-07-01 12:20:00,646.6,0
2014-07-01 12:30:00,729.1,0
2014-07-01 12:40:00,796,0
2014-07-01 12:50:00,922.8,0
