"Index","power","anomaly"
2014-07-01 00:00:00,1830.2,1
2014-07-01 00:10:00,4164.8,1
2014-07-01 00:20:00,4108.4,1
2014-07-01 00:30:00,4185.1,1
2014-07-01 00:40:00,4137.9,1
2014-07-01 00:50:00,4496.4,1
2014-07-01 01:00:00,3544.9,1
2014-07-01 01:10:00,635.8,0
2014-07-01 01:20:00,604.6,0
2014-07-01 01:30:00,2074.6,1
2014-07-01 01:40:00,3900.7,1
2014-07-01 01:50:00,1203.1,1
2014-07-01 02:00:00,549.2,0
2014-07-01 02:10:00,508.5,0
2014-07-01 02:20:00,511.2,0
2014-07-01 02:30:00,490.7,0
2014-07-01 02:40:00,2334.2,1
2014-07-01 02:50:00,3915.3,1
2014-07-01 03:00:00,4021.4,1
2014-07-01 03:10:00,3948.5,0
2014-07-01 03:20:00,4486.4,0
2014-07-01 03:30:00,3917.5,0
2014-07-01 03:40:00,3915.4,0
2014-07-01 03:50:00,3845.1,1
2014-07-01 04:00:00,4637.2,1
2014-07-01 04:10:00,4494.6,0
2014-07-01 04:20:00,3948,0
2014-07-01 04:30:00,3654.1,0
2014-07-01 04:40:00,3802.4,0
2014-07-01 04:50:00,1395.7,0
2014-07-01 05:00:00,254,0
2014-07-01 05:10:00,171.9,0
2014-07-01 05:20:00,248.2,0
2014-07-01 05:30:00,271.3,0
2014-07-01 05:40:00,270.1,0
2014-07-01 05:50:00,246.4,0
2014-07-01 06:00:00,170.8,0
2014-07-01 06:10:00,175.9,0
2014-07-01 06:20:00,224.9,0
2014-07-01 06:30:00,270.1,0
2014-07-01 06:40:00,270.4,0
2014-07-01 06:50:00,242.5,0
2014-07-01 07:00:00,170.6,0
2014-07-01 07:10:00,172.4,0
2014-07-01 07:20:00,197.2,0
2014-07-01 07:30:00,352,0
2014-07-01 07:40:00,1064.9,1
2014-07-01 07:50:00,3580,1
2014-07-01 08:00:00,2001.1,1
2014-07-01 08:10:00,244.7,0
2014-07-01 08:20:00,274.2,0
2014-07-01 08:30:00,344.3,0
2014-07-01 08:40:00,345.1,0
2014-07-01 08:50:00,339.1,0
2014-07-01 09:00:00,303.3,0
2014-07-01 09:10:00,702.7,0
2014-07-01 09:20:00,719,0
2014-07-01 09:30:00,698,0
2014-07-01 09:40:00,381.1,0
2014-07-01 09:50:00,1033,1
2014-07-01 10:00:00,3597.9,1
2014-07-01 10:10:00,3533.5,1
2014-07-01 10:20:00,3512.9,1
2014-07-01 10:30:00,2494.4,1
2014-07-01 10:40:00,4749.3,1
2014-07-01 10:50:00,4923.1,1
2014-07-01 11:00:00,3345.6,1
2014-07-01 11:10:00,2814.7,1
2014-07-01 11:20:00,582.8,0
2014-07-01 11:30:00,352.6,0
2014-07-01 11:40:00,373.3,0
2014-07-01 11:50:00,388.6,0
2014-07-01 12:00:00,314.5,0
2014-07-01 12:10:00,312.1,0
2014-07-01 12:20:00,249.4,0
2014-07-01 12:30:00,209,0
2014-07-01 12:40:00,326.8,0
2014-07-01 12:50:00,1055.8,1
2014-07-01 13:00:00,1103,0
2014-07-01 13:10:00,741.1,0
2014-07-01 13:20:00,829.7,0
2014-07-01 13:30:00,943.5,0
2014-07-01 13:40:00,3182.4,1
2014-07-01 13:50:00,743.2,0
2014-07-01 14:00:00,291.1,0
2014-07-01 14:10:00,233.9,0
2014-07-01 14:20:00,196.5,0
2014-07-01 14:30:00,199.6,0
2014-07-01 14:40:00,269,0
2014-07-01 14:50:00,295,0
2014-07-01 15:00:00,291.7,0
2014-07-01 15:10:00,219.7,0
2014-07-01 15:20:00,194.9,0
2014-07-01 15:30:00,234.6,0
2014-07-01 15:40:00,342.9,0
2014-07-01 15:50:00,371.9,0
2014-07-01 16:00:00,362.5,0
2014-07-01 16:10:00,316.5,0
2014-07-01 16:20:00,264.9,0
2014-07-01 16:30:00,265.8,0
2014-07-01 16:40:00,325.5,0
2014-07-01 16:50:00,361.2,0
2014-07-01 17:00:00,359.2,0
2014-07-01 17:10:00,271.7,0
2014-07-01 17:20:00,262,0
2014-07-01 17:30:00,262.1,0
2014-07-01 17:40:00,300,0
2014-07-01 17:50:00,366.7,0
2014-07-01 18:00:00,382,0
2014-07-01 18:10:00,414,0
2014-07-01 18:20:00,392.8,0
2014-07-01 18:30:00,314.3,0
2014-07-01 18:40:00,314,0
2014-07-01 18:50:00,324.9,0
2014-07-01 19:00:00,414.2,0
2014-07-01 19:10:00,408.7,0
2014-07-01 19:20:00,374,0
2014-07-01 19:30:00,312.3,0
2014-07-01 19:40:00,309.8,0
2014-07-01 19:50:00,331.6,0
2014-07-01 20:00:00,411.3,0
2014-07-01 20:10:00,403.6,0
2014-07-01 20:20:00,2194.9,1
2014-07-01 20:30:00,3833.7,1
2014-07-01 20:40:00,1739.3,1
2014-07-01 20:50:00,342.1,0
2014-07-01 21:00:00,404.2,0
2014-07-01 21:10:00,400.3,0
2014-07-01 21:20:00,342.5,0
2014-07-01 21:30:00,303.2,0
2014-07-01 21:40:00,302.6,0
2014-07-01 21:50:00,3739.5,1
2014-07-01 22:00:00,3888.7,1
2014-07-01 22:10:00,891,1
2014-07-01 22:20:00,398.4,0
2014-07-01 22:30:00,308.3,0
2014-07-01 22:40:00,307.2,0
2014-07-01 22:50:00,345.2,0
2014-07-01 23:00:00,401.3,0
2014-07-01 23:10:00,2961.9,1
2014-07-01 23:20:00,1886.1,1
2014-07-01 23:30:00,1219.3,0
2014-07-01 23:40:00,4009.2,1
2014-07-01 23:50:00,1464,1
2014-07-02 00:00:00,1217.5,1
2014-07-02 00:10:00,4180.3,1
2014-07-02 00:20:00,727.8,0
2014-07-02 00:30:00,1688.3,1
2014-07-02 00:40:00,4069.2,1
2014-07-02 00:50:00,1031.5,1
2014-07-02 01:00:00,966.1,0
2014-07-02 01:10:00,3978.6,1
2014-07-02 01:20:00,860.9,0
2014-07-02 01:30:00,396.8,0
2014-07-02 01:40:00,393.6,0
2014-07-02 01:50:00,507.7,0
2014-07-02 02:00:00,520.5,0
2014-07-02 02:10:00,448.4,0
2014-07-02 02:20:00,493.2,0
2014-07-02 02:30:00,615.4,0
2014-07-02 02:40:00,400.3,0
2014-07-02 02:50:00,368.3,0
2014-07-02 03:00:00,376.5,0
2014-07-02 03:10:00,3792.1,0
2014-07-02 03:20:00,3715.4,0
2014-07-02 03:30:00,2007.6,0
2014-07-02 03:40:00,1450.7,0
2014-07-02 03:50:00,3424.3,0
2014-07-02 04:00:00,398.8,0
2014-07-02 04:10:00,3651,0
2014-07-02 04:20:00,3135.3,0
2014-07-02 04:30:00,431.7,0
2014-07-02 04:40:00,3667,0
2014-07-02 04:50:00,3594.3,0
2014-07-02 05:00:00,3446.4,0
2014-07-02 05:10:00,236.1,0
2014-07-02 05:20:00,2006.7,1
2014-07-02 05:30:00,668.6,0
2014-07-02 05:40:00,345.2,0
2014-07-02 05:50:00,2807.8,1
2014-07-02 06:00:00,275,0
2014-07-02 06:10:00,211.6,0
2014-07-02 06:20:00,401.9,0
2014-07-02 06:30:00,2844.7,1
2014-07-02 06:40:00,231.2,0
2014-07-02 06:50:00,266.4,0
2014-07-02 07:00:00,264,0
2014-07-02 07:10:00,241.7,0
2014-07-02 07:20:00,164.9,0
2014-07-02 07:30:00,164.4,0
2014-07-02 07:40:00,2767.2,1
2014-07-02 07:50:00,559.5,0
2014-07-02 08:00:00,255.3,0
2014-07-02 08:10:00,251.2,0
2014-07-02 08:20:00,170.6,0
2014-07-02 08:30:00,159.5,0
2014-07-02 08:40:00,216.6,0
2014-07-02 08:50:00,2943.1,1
2014-07-02 09:00:00,3446.1,1
2014-07-02 09:10:00,1198.6,1
2014-07-02 09:20:00,209.4,0
2014-07-02 09:30:00,212.6,0
2014-07-02 09:40:00,2497.7,1
2014-07-02 09:50:00,1310.3,1
2014-07-02 10:00:00,241,0
2014-07-02 10:10:00,213.2,0
2014-07-02 10:20:00,149.1,0
2014-07-02 10:30:00,846.1,0
2014-07-02 10:40:00,2527.2,0
2014-07-02 10:50:00,245.7,0
2014-07-02 11:00:00,244.7,0
2014-07-02 11:10:00,208,0
2014-07-02 11:20:00,145.8,0
2014-07-02 11:30:00,149.2,0
2014-07-02 11:40:00,538.2,0
2014-07-02 11:50:00,3041.3,1
2014-07-02 12:00:00,251.4,0
2014-07-02 12:10:00,243.6,0
2014-07-02 12:20:00,242.3,0
2014-07-02 12:30:00,387.9,0
2014-07-02 12:40:00,608,0
2014-07-02 12:50:00,871.7,0
2014-07-02 13:00:00,581.8,0
2014-07-02 13:10:00,487.9,0
2014-07-02 13:20:00,515.4,0
2014-07-02 13:30:00,516.8,0
2014-07-02 13:40:00,512.5,0
2014-07-02 13:50:00,511.2,0
2014-07-02 14:00:00,592.8,1
2014-07-02 14:10:00,281.6,0
2014-07-02 14:20:00,268.1,0
2014-07-02 14:30:00,270.9,0
2014-07-02 14:40:00,267.3,0
2014-07-02 14:50:00,250.7,0
2014-07-02 15:00:00,172.8,0
2014-07-02 15:10:00,181.7,0
2014-07-02 15:20:00,268.9,0
2014-07-02 15:30:00,266.1,0
2014-07-02 15:40:00,266.3,0
2014-07-02 15:50:00,231.5,0
2014-07-02 16:00:00,169.6,0
2014-07-02 16:10:00,172,0
2014-07-02 16:20:00,236.1,0
2014-07-02 16:30:00,264.6,0
2014-07-02 16:40:00,265.2,0
2014-07-02 16:50:00,244.9,0
2014-07-02 17:00:00,167.4,0
2014-07-02 17:10:00,167.7,0
2014-07-02 17:20:00,171.1,0
2014-07-02 17:30:00,258.2,0
2014-07-02 17:40:00,263.7,0
2014-07-02 17:50:00,261.3,0
2014-07-02 18:00:00,176.7,0
2014-07-02 18:10:00,167.4,0
2014-07-02 18:20:00,213.8,0
2014-07-02 18:30:00,264.2,0
2014-07-02 18:40:00,264.3,0
2014-07-02 18:50:00,241.9,0
2014-07-02 19:00:00,164.6,0
2014-07-02 19:10:00,168.1,0
2014-07-02 19:20:00,194.2,0
2014-07-02 19:30:00,262.4,0
2014-07-02 19:40:00,259.2,0
2014-07-02 19:50:00,236.3,0
2014-07-02 20:00:00,114.2,0
2014-07-02 20:10:00,98.3,0
2014-07-02 20:20:00,101.9,0
2014-07-02 20:30:00,195.5,0
2014-07-02 20:40:00,195.4,0
2014-07-02 20:50:00,192.7,0
2014-07-02 21:00:00,108.9,0
2014-07-02 21:10:00,99,0
2014-07-02 21:20:00,149.1,0
2014-07-02 21:30:00,1820.9,1
2014-07-02 21:40:00,3668.7,1
2014-07-02 21:50:00,365,0
2014-07-02 22:00:00,2356.1,1
2014-07-02 22:10:00,3786.8,1
2014-07-02 22:20:00,2039.4,1
2014-07-02 22:30:00,377.5,0
2014-07-02 22:40:00,241.9,0
2014-07-02 22:50:00,285.9,0
2014-07-02 23:00:00,284,0
2014-07-02 23:10:00,1442.4,0
2014-07-02 23:20:00,1854.1,0
2014-07-02 23:30:00,523.8,0
2014-07-02 23:40:00,502.4,0
2014-07-02 23:50:00,497.8,0
2014-07-03 00:00:00,499,0
2014-07-03 00:10:00,535.9,0
2014-07-03 00:20:00,863.8,0
2014-07-03 00:30:00,983.5,0
2014-07-03 00:40:00,4132,1
2014-07-03 00:50:00,4122.3,1
2014-07-03 01:00:00,3210.9,1
2014-07-03 01:10:00,775.5,0
2014-07-03 01:20:00,796.6,0
2014-07-03 01:30:00,889.2,0
2014-07-03 01:40:00,3877.9,1
2014-07-03 01:50:00,3469.6,1
2014-07-03 02:00:00,1196.9,1
2014-07-03 02:10:00,2159.1,1
2014-07-03 02:20:00,3534.9,1
2014-07-03 02:30:00,545,0
2014-07-03 02:40:00,571,0
2014-07-03 02:50:00,495.7,0
2014-07-03 03:00:00,517.9,0
2014-07-03 03:10:00,3824.8,0
2014-07-03 03:20:00,3783.4,0
2014-07-03 03:30:00,3751.8,1
2014-07-03 03:40:00,3735,0
2014-07-03 03:50:00,3751.8,0
2014-07-03 04:00:00,634.1,0
2014-07-03 04:10:00,3716.9,0
2014-07-03 04:20:00,2929.5,0
2014-07-03 04:30:00,1691.9,0
2014-07-03 04:40:00,3814.2,0
2014-07-03 04:50:00,3772,0
2014-07-03 05:00:00,3820.8,0
2014-07-03 05:10:00,3750.9,1
2014-07-03 05:20:00,876.7,0
2014-07-03 05:30:00,1535.4,1
2014-07-03 05:40:00,2321.5,1
2014-07-03 05:50:00,307.6,0
2014-07-03 06:00:00,261.8,0
2014-07-03 06:10:00,1405.9,1
2014-07-03 06:20:00,1757.8,1
2014-07-03 06:30:00,190.4,0
2014-07-03 06:40:00,268.4,0
2014-07-03 06:50:00,1459.6,1
2014-07-03 07:00:00,2315.9,1
2014-07-03 07:10:00,265.2,0
2014-07-03 07:20:00,171.8,0
2014-07-03 07:30:00,164.6,0
2014-07-03 07:40:00,168.2,0
2014-07-03 07:50:00,226.3,0
2014-07-03 08:00:00,1625.4,1
2014-07-03 08:10:00,1997.6,1
2014-07-03 08:20:00,204.7,0
2014-07-03 08:30:00,317.6,0
2014-07-03 08:40:00,1373.2,1
2014-07-03 08:50:00,560,0
2014-07-03 09:00:00,1890.1,0
2014-07-03 09:10:00,2124.6,1
2014-07-03 09:20:00,1323.1,1
2014-07-03 09:30:00,1306.6,1
2014-07-03 09:40:00,487.5,0
2014-07-03 09:50:00,455.3,0
2014-07-03 10:00:00,2039.5,1
2014-07-03 10:10:00,2186.5,1
2014-07-03 10:20:00,377.3,0
2014-07-03 10:30:00,234.9,0
2014-07-03 10:40:00,243.3,0
2014-07-03 10:50:00,330.8,0
2014-07-03 11:00:00,326.6,0
2014-07-03 11:10:00,263,0
2014-07-03 11:20:00,333.6,0
2014-07-03 11:30:00,1684.9,1
2014-07-03 11:40:00,413.5,0
2014-07-03 11:50:00,414.4,0
2014-07-03 12:00:00,412.6,0
2014-07-03 12:10:00,328.9,0
2014-07-03 12:20:00,311.8,0
2014-07-03 12:30:00,347.9,0
2014-07-03 12:40:00,620.6,0
2014-07-03 12:50:00,452.4,0
2014-07-03 13:00:00,454.8,0
2014-07-03 13:10:00,461.4,0
2014-07-03 13:20:00,463.5,0
2014-07-03 13:30:00,457.4,0
2014-07-03 13:40:00,513,0
2014-07-03 13:50:00,2970.4,1
2014-07-03 14:00:00,3373.1,1
2014-07-03 14:10:00,386.3,0
2014-07-03 14:20:00,340.9,0
2014-07-03 14:30:00,327,0
2014-07-03 14:40:00,337.1,0
2014-07-03 14:50:00,317.4,0
2014-07-03 15:00:00,684.2,1
2014-07-03 15:10:00,682.2,1
2014-07-03 15:20:00,628.6,1
2014-07-03 15:30:00,365.4,0
2014-07-03 15:40:00,362.8,0
2014-07-03 15:50:00,328.6,0
2014-07-03 16:00:00,406.8,0
2014-07-03 16:10:00,579.5,1
2014-07-03 16:20:00,584.1,1
2014-07-03 16:30:00,643.3,1
2014-07-03 16:40:00,666.5,1
2014-07-03 16:50:00,697,1
2014-07-03 17:00:00,681.5,1
2014-07-03 17:10:00,567.4,1
2014-07-03 17:20:00,438.9,0
2014-07-03 17:30:00,767.9,1
2014-07-03 17:40:00,947,1
2014-07-03 17:50:00,505.4,0
2014-07-03 18:00:00,410.5,0
2014-07-03 18:10:00,348.5,0
2014-07-03 18:20:00,255.8,0
2014-07-03 18:30:00,494.3,0
2014-07-03 18:40:00,673.7,1
2014-07-03 18:50:00,568.4,1
2014-07-03 19:00:00,2682.7,1
2014-07-03 19:10:00,567.1,0
2014-07-03 19:20:00,442.7,0
2014-07-03 19:30:00,339.9,0
2014-07-03 19:40:00,339,0
2014-07-03 19:50:00,357.6,0
2014-07-03 20:00:00,384.4,0
2014-07-03 20:10:00,352.2,0
2014-07-03 20:20:00,2132.4,1
2014-07-03 20:30:00,3858.2,1
2014-07-03 20:40:00,3710.4,1
2014-07-03 20:50:00,1991.9,1
2014-07-03 21:00:00,252.5,0
2014-07-03 21:10:00,349.1,0
2014-07-03 21:20:00,348,0
2014-07-03 21:30:00,344.3,0
