"Index","power","anomaly"
2014-07-01 00:00:00,2680.6,0
2014-07-01 00:10:00,2662.5,0
2014-07-01 00:20:00,2646.7,0
2014-07-01 00:30:00,2644.1,0
2014-07-01 00:40:00,2632.2,0
2014-07-01 00:50:00,2617.5,0
2014-07-01 01:00:00,2620.7,0
2014-07-01 01:10:00,2609.2,0
2014-07-01 01:20:00,2611.6,0
2014-07-01 01:30:00,2552.8,0
2014-07-01 01:40:00,2526.8,0
2014-07-01 01:50:00,2521.5,0
2014-07-01 02:00:00,2517.9,0
2014-07-01 02:10:00,2511.3,0
2014-07-01 02:20:00,2509.7,0
2014-07-01 02:30:00,2504,0
2014-07-01 02:40:00,2519.7,0
2014-07-01 02:50:00,2615.3,0
2014-07-01 03:00:00,1641.4,0
2014-07-01 03:10:00,372.6,0
2014-07-01 03:20:00,362.9,0
2014-07-01 03:30:00,2567.5,0
2014-07-01 03:40:00,2618.2,0
2014-07-01 03:50:00,2543.7,0
2014-07-01 04:00:00,1645.8,0
2014-07-01 04:10:00,269.6,0
2014-07-01 04:20:00,277.9,0
2014-07-01 04:30:00,2186.9,0
2014-07-01 04:40:00,2552.2,0
2014-07-01 04:50:00,2918,0
2014-07-01 05:00:00,2753.1,0
2014-07-01 05:10:00,901.7,0
2014-07-01 05:20:00,997.7,0
2014-07-01 05:30:00,2584.6,0
2014-07-01 05:40:00,2951.7,0
2014-07-01 05:50:00,2944.1,1
2014-07-01 06:00:00,4571.5,1
2014-07-01 06:10:00,7118.7,1
2014-07-01 06:20:00,8049.9,1
2014-07-01 06:30:00,5128.1,1
2014-07-01 06:40:00,5424.6,1
2014-07-01 06:50:00,2748.1,0
2014-07-01 07:00:00,2565.2,1
2014-07-01 07:10:00,2476.3,1
2014-07-01 07:20:00,1959.2,0
2014-07-01 07:30:00,259.9,0
2014-07-01 07:40:00,245.5,0
2014-07-01 07:50:00,1091,0
2014-07-01 08:00:00,2444.7,0
2014-07-01 08:10:00,2553.5,0
2014-07-01 08:20:00,2568.5,0
2014-07-01 08:30:00,389,0
2014-07-01 08:40:00,343.4,0
2014-07-01 08:50:00,340.8,0
