"Index","fit","lwr","upr"
2014-07-01 00:00:00,1693.46262666008,601.658177746874,2785.26707557328
2014-07-01 00:10:00,1061.01367329994,-302.679506267956,2424.70685286784
2014-07-01 00:20:00,872.631144353477,-347.989415307332,2093.25170401429
2014-07-01 00:30:00,1129.61481440585,128.379749764849,2130.84987904685
2014-07-01 00:40:00,1547.52951780949,214.923567550129,2880.13546806886
2014-07-01 00:50:00,902.62772179145,-270.407266604036,2075.66271018694
2014-07-01 01:00:00,198.75503969039,-703.838269982725,1101.3483493635
2014-07-01 01:10:00,381.698605899763,-1396.95404559425,2160.35125739377
2014-07-01 01:20:00,474.02198025266,-1396.76680917993,2344.81076968525
2014-07-01 01:30:00,1012.14684009544,-631.91400427742,2656.2076844683
2014-07-01 01:40:00,1935.21630876134,-589.579986388029,4460.01260391072
2014-07-01 01:50:00,1552.22516832518,-2233.40972514602,5337.86006179637
2014-07-01 02:00:00,1384.22377877134,-918.074376261291,3686.52193380398
2014-07-01 02:10:00,1611.18302162721,-7.65614477156532,3230.02218802598
2014-07-01 02:20:00,973.701637407795,113.859840331147,1833.54343448444
2014-07-01 02:30:00,983.435479113032,-150.335480119916,2117.20643834598
2014-07-01 02:40:00,879.275696701974,75.9345595337927,1682.61683387016
2014-07-01 02:50:00,1213.33890938233,386.583742076631,2040.09407668802
2014-07-01 03:00:00,1027.09359595022,-325.368902852123,2379.55609475255
2014-07-01 03:10:00,962.087448883274,-1147.90145250934,3072.07635027589
2014-07-01 03:20:00,991.488948597147,93.0989338114379,1889.87896338286
2014-07-01 03:30:00,1004.33411882639,60.847037833753,1947.82119981902
2014-07-01 03:40:00,1341.10589347481,377.310731281793,2304.90105566783
2014-07-01 03:50:00,934.205365542043,-39.7695006634455,1908.18023174753
2014-07-01 04:00:00,1176.87491696639,209.551552211871,2144.19828172091
2014-07-01 04:10:00,1396.66535525397,297.482876014662,2495.84783449327
2014-07-01 04:20:00,441.051810351391,-676.549898070114,1558.6535187729
2014-07-01 04:30:00,909.736184777448,-242.530058183208,2062.0024277381
2014-07-01 04:40:00,1061.64041265946,-149.137622599961,2272.41844791888
2014-07-01 04:50:00,470.715214463859,-521.843368190082,1463.2737971178
2014-07-01 05:00:00,1430.54409349451,417.498644036954,2443.58954295207
2014-07-01 05:10:00,899.920311296876,-264.005524255659,2063.84614684941
2014-07-01 05:20:00,1258.66905795809,178.252422272272,2339.08569364391
2014-07-01 05:30:00,1043.92457356592,119.980895628788,1967.86825150306
2014-07-01 05:40:00,1290.66715724191,11.8448448518509,2569.48946963198
2014-07-01 05:50:00,830.617129651728,-550.951074962145,2212.1853342656
2014-07-01 06:00:00,582.722500640321,-561.710624826897,1727.15562610754
2014-07-01 06:10:00,160.593467125406,-642.486942298209,963.67387654902
2014-07-01 06:20:00,292.634772597191,156.786715317498,428.482829876884
2014-07-01 06:30:00,650.505848062439,-68.7502528269913,1369.76194895187
2014-07-01 06:40:00,468.319780307986,-774.032488038906,1710.67204865488
2014-07-01 06:50:00,317.266402612835,-1024.81740252006,1659.35020774573
2014-07-01 07:00:00,103.316920326228,-861.636382170841,1068.2702228233
2014-07-01 07:10:00,215.866855192681,-926.740719903278,1358.47443028864
2014-07-01 07:20:00,756.809622110246,-337.767429844831,1851.38667406532
2014-07-01 07:30:00,422.874503335914,-625.280246053062,1471.02925272489
2014-07-01 07:40:00,511.337775912461,-298.701170476332,1321.37672230125
2014-07-01 07:50:00,525.887982501269,-676.857987352715,1728.63395235525
2014-07-01 08:00:00,5.78250003224213,-783.40553501813,794.970535082614
2014-07-01 08:10:00,273.874749402651,-616.363715279706,1164.11321408501
2014-07-01 08:20:00,188.773265437244,-167.941060973495,545.487591847982
2014-07-01 08:30:00,290.504019814613,-577.019088042847,1158.02712767207
2014-07-01 08:40:00,530.265105686548,-636.249077110501,1696.7792884836
2014-07-01 08:50:00,203.018164307917,-543.682693242592,949.719021858427
2014-07-01 09:00:00,92.2407633212266,-1101.24780386323,1285.72933050568
2014-07-01 09:10:00,103.316920326228,-995.727186159039,1202.3610268115
2014-07-01 09:20:00,382.74026839788,-395.946315536889,1161.42685233265
2014-07-01 09:30:00,441.019933845238,-561.271685727961,1443.31155341844
2014-07-01 09:40:00,62.7949744284118,-639.628685955168,765.218634811992
2014-07-01 09:50:00,186.871564056673,-408.772805233146,782.515933346493
2014-07-01 10:00:00,844.08173900559,-423.748657643215,2111.9121356544
2014-07-01 10:10:00,967.083848097694,-249.044498199138,2183.21219439453
2014-07-01 10:20:00,245.793726837096,11.8341519813818,479.753301692811
2014-07-01 10:30:00,451.545718605942,-453.393931683881,1356.48536889576
2014-07-01 10:40:00,903.752987385172,-156.370401659707,1963.87637643005
2014-07-01 10:50:00,346.436349142749,-48.5595630723859,741.432261357884
2014-07-01 11:00:00,150.289628338242,-42.8764728976286,343.455729574113
2014-07-01 11:10:00,835.579170967144,-156.07434110247,1827.23268303676
2014-07-01 11:20:00,783.249600364764,-223.254054207174,1789.7532549367
2014-07-01 11:30:00,776.107764668136,-266.751256804406,1818.96678614068
2014-07-01 11:40:00,240.99706057262,-188.404956190226,670.399077335467
2014-07-01 11:50:00,140.161536069915,75.4121731386865,204.910899001144
2014-07-01 12:00:00,569.113253609717,-394.009190665499,1532.23569788493
2014-07-01 12:10:00,465.589690620193,-535.796088521226,1466.97546976161
2014-07-01 12:20:00,1007.54420213398,221.918974263419,1793.16943000454
2014-07-01 12:30:00,1437.76894300482,505.227428647419,2370.31045736223
2014-07-01 12:40:00,1358.53063835627,1012.48731929539,1704.57395741714
